Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.17877096,487709497.2067039,596648044.6927375,695530726.2569833,764804469.273743,872067039.1061453,958659217.877095,1083240223.4636872,1245810055.8659217,1320670391.0614524,1379888268.1564245,1531843575.4189944,1665363128.49162,1722905027.9329607,1873452513.9664805,1896456983.2402234,1961843575.4189944,2044111731.8435755,2254830726.2569833,2360017318.435754,2469782681.5642457,2677641340.782123,2843024581.0055866,2553793296.0893855,2453597206.7039104,2637859217.8770947,2615208379.888268,2727849720.670391,2790849720.670391,2962907262.5698323,2983635195.5307264,3092429050.27933,3276184357.541899,3395798882.6815643,2481857122.8401003,2929446578.2510448,3279343543.604156,3648573136.1515474,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24210632546.40918,24963977550.732044,27078797298.77046,31775749181.23809,30285794056.930534,33813171214.317833,36934974916.794426,38452170915.87015,41750716742.670784,47058301051.09074,47603733607.84659,52199396058.87747,56737525054.64258,73098451708.72159,89554214418.5948,95315090874.56041,96025945909.71158,109230767189.88669,124109354266.7739,142129549067.43475,178509359261.9699,185163153183.2735,178405098013.4793,185822573393.84207,170100082132.49783,149398169631.56985,160637695746.52994,190274540364.3138,207470327239.54727,220712471558.90436,256512313442.55002,276493655917.1137,241276314848.92783,240096330186.9254,243571151197.46057,273433178583.62643,273531010588.08823,288377674812.45184,268833477662.21048,265429291101.25574,287201650974.2431,260992227761.93173,267815037121.33246,355716369350.72736,442696185950.8185,516661066397.69714,580240750094.055,665598700905.8634,713502105895.9148,715485327512.2477,849409658497.5784,945439148517.7546,952998559818.562,962394917490.2483,978708260612.8739,898277807343.0054,828942805457.7549,972998927353.6777,1012306000425.2489,1009721174054.907,933391782089.6174,1085745178850.9733,1191423176242.9597,1245472471675.949,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418059.923445,2813571753.8725324,3825701438.9996333,4520946818.545814,5224896718.67782,6203256538.709669,6971758282.293506,9747886187.393929,10109297047.543194,12416152732.056717,15856668555.833595,17805098206.314083,19907329777.587166,20146416757.598675,20497128555.69723,19134221644.732494,18116572395.077213,18753456497.815865,18053222687.412624,18799444490.11278,19955929052.149597,14259995441.075907,14497243872.13374,17233051620.111732,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11904954209.7913,12707877772.09132,13630758805.127037,14469094143.85075,15803761887.016966,16921087954.572952,18034172573.25866,16493747239.311071,17022809177.193499,19301432647.6235,26697257158.493504,24497091507.966873,29489793286.493954,36891093307.35071,49687843306.27753,57280830631.77634,68386405203.20959,71790392858.76917,78779062952.68651,96682270600.3441,120501289650.44421,216910928971.2357,195918303003.4756,151222588533.41635,131218181008.63164,137802915726.0134,109237001606.14786,112294774135.92227,111227154872.41902,103934371472.96426,123711320874.1151,129941883767.73805,124599331246.0663,129732604186.55582,134776834335.37094,207176966923.1538,262600874262.36618,275742250432.71796,296152427996.97516,139468349993.66464,142140075688.03528,150058483119.2772,179390065404.7694,207754986627.12842,256907774242.77014,313327532014.4129,398139655913.5858,466883688400.50055,569321671765.0966,509917730290.9876,600152668678.2876,683888129140.7745,739938079289.6575,836937363389.6344,897415713447.0168,771766914345.1613,694360980069.4558,687849196676.2023,770494988148.7596,826483769985.1288,789801651563.2942,849312422223.2051,883973910898.8541,799105950273.8308,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503400.962631,5550483035.964972,5550483035.964972,5784341596.363394,6131475065.178155,7554065410.120997,7072536108.697105,8084412414.26566,8769836768.834816,10201780976.669563,11229515599.304768,10603784541.19696,8307810973.588479,5768720421.613673,4438321017.390678,5538749259.94714,7526446605.517117,7648377412.832772,6506229607.294324,6152923310.4454565,9129594970.153011,8936079117.731356,15285592370.373981,17812704586.43969,23552057679.499435,36970900883.810905,52381025141.42681,65266415494.25839,88538665084.86345,70307196181.65387,83799474069.73146,111789747670.5905,128052915766.34274,132339109040.23174,135966802586.7132,90496420506.59566,52761617225.925285,73690154990.73123,79450688259.36636,70897962732.02774,48501561203.568634,66505129987.72355,104399746853.40141,84824654481.72493,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1578102105.2631578,1808177156.1771562,1861163170.16317,1881412587.4125874,1857337995.3379953,1897050116.5501165,2097326250.0,2080796249.9999998,2051236250.0,2253090000.0,2028553750.0,1099559027.7777777,652174990.8373039,1185315468.4629517,1880950864.4131145,2392764853.421074,3199640815.4162974,2258513974.0967965,2545964540.883832,3212121650.9775524,3480355258.0412197,3922100793.5403037,4348068242.195123,5611496257.142313,7184685781.518761,8052077248.146379,8896075004.635162,10677324852.882233,12881352893.68551,12044205549.65712,11926926615.801525,12890760315.146019,12319834195.331005,12776224496.97176,13228147516.116798,11386853113.0189,11861199830.83956,13019726211.736889,15379509891.719603,15585105131.064415,15241458744.868845,18032010563.7558,19017242585.78034,23547179830.441257,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.09653251,89406608.14581512,113414397.3656347,150841639.29744396,186557081.99813673,220112572.20533124,227283850.83127123,253997897.22696805,308020261.16414887,411548748.3547291,446377776.79800063,388983266.19988644,375914743.5810058,327850042.5158724,330073080.6370984,346742714.67515206,481996012.869071,611299924.5405055,721425939.1515498,795489582.0449102,1028989692.0678707,1106891361.5394838,1209992020.2954278,1007090269.8695563,1017544068.8407956,1178745282.8678029,1224024139.2129533,1180645571.8643036,1211953994.0571387,1240295198.7833095,1432606188.693242,1548265808.0580215,1764279824.297522,2366941808.944043,2900245324.492212,3161084091.1167426,3459337986.8838334,3957625367.2195907,4102319399.0234303,3688976340.754897,3449925738.860686,3629133574.2778273,3188652765.361844,3193512950.024186,3271685596.6632113,2789881258.503616,2896610479.7307653,3000162081.1197567,3218419896.9641023,3155149347.806392,2891001149.361105,3324647529.3809986,3380612573.3292155,3785067331.762496,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,19997084153.920403,20327670691.747284,22362957617.81934,24811627082.269787,26769289694.466927,28349126511.28642,30598797624.994267,34970677297.74501,38561008450.52375,43091222309.58811,49926770848.09689,59966658266.35886,79125367981.70917,152188729571.9634,168158579107.57202,209993347714.02625,242270387233.54807,265398240292.28125,358111304337.9999,486405826789.1561,494916415249.25836,463080469413.2276,437471179607.11304,440182151040.52576,432868201205.86206,405473196669.70654,431257668979.74756,429382834186.0749,457369060523.4568,641712235219.388,467952893063.6116,467794315237.35925,478927019847.8442,499880127406.63574,528480491435.01276,570909722765.5438,614596967130.0548,598789587273.9711,665415371173.92,763411636190.4249,744728537853.6202,746649261275.2717,830076468636.6002,987316008401.5897,1210020765397.3643,1439471041382.9668,1674641032780.0876,2118071078804.5198,1829849574764.6287,2155345081625.059,2560993268042.2817,2795312711245.16,2858382766060.3,2905651795199.0874,2544700996740.792,2500823407237.9443,2572203993723.8975,2867348492603.594,2899029698316.635,2562783626987.7256,2969239218342.0303,3609805711776.486,3512421040998.1885,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,685986701.3167013,939893599.6342009,1415086929.3006032,4231243615.8608866,11651505689.424364,14720728248.535513,19213158778.792797,24871775164.60431,23775764224.683178,31225659620.995075,43599160050.332245,49333424135.11305,46622718605.28467,42803323345.137566,41807954235.90302,40603650231.54454,33943612094.79706,36384908744.21139,36275674203.214386,41464995913.919914,50701443748.29747,51552165622.446205,54239171887.769005,55625170253.33697,59305093979.84201,65743666575.86489,73571233996.18633,78839008444.56552,75674336283.18584,84445473110.95984,104337372362.15112,103311640571.81757,109816201497.61743,124346358066.71205,147824370319.94556,180617467964.60178,222116541865.21445,257916133424.09802,315474615738.5977,253547358747.44727,300189052694.0286,360832739558.3853,384610125384.0327,400218529747.59705,414105366758.9109,370275469560.1661,369255326235.7713,390516804016.501,427049432149.34515,417989721734.4942,349473015336.9394,415178792769.88434,502731935197.48676,514130432653.08105,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877.608116,18272123664.47152,25605249381.75971,28344705966.63891,28630474727.90226,24256667553.25692,26436857247.498184,31256284543.61548,31584210365.54465,33293199095.488117,34733000536.28621,52544000116.90373,72436777342.45541,52438647921.9226,51169499892.17222,56781000101.08483,89049453088.32817,69252328951.6441,76961923741.0701,78676842366.5529,84307486836.72401,103979106777.91101,116915052107.03087,88150891728.10643,105872372613.85706,108810885301.25256,126890235049.09248,76629728760.12296,141352630146.73056,189719984268.48453,228778917308.16986,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530158122010.44244,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557532320662.9546,643628393281.364,524819892360.1758,447754683615.22455,385740508436.9652,486564085480.0355,632790070063.1237,646075277525.1245,
