Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP (current US$)
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,541988586206.897
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1961,561940310344.828
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1962,603639413793.103
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1963,637058551724.138
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1964,684144620689.655
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1965,741904862068.965
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1966,813032758620.69
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1967,859620034482.759
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1968,940225000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1969,1017438172413.79
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1970,1073303000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1971,1164850000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1972,1279110000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1973,1425376000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1974,1545243000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1975,1684904000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1976,1873412000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1977,2081826000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1978,2351599000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1979,2627333000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1980,2857307000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1981,3207041000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1982,3343789000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1983,3634038000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1984,4037613000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1985,4338979000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1986,4579631000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1987,4855215000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1988,5236438000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1989,5641580000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1990,5963144000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1991,6158129000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1992,6520327000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1993,6858559000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1994,7287236000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1995,7639749000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1996,8073122000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1997,8577552000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1998,9062817000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1999,9631172000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2000,10250952000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2001,10581929000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2002,10929108000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2003,11456450000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2004,12217196000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2005,13039197000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2006,13815583000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2007,14474228000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2008,14769862000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2009,14478067000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2010,15048971000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2011,15599732000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2012,16253970000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2013,16880683000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2014,17608138000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2015,18295019000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2016,18804913000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2017,19612102000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2018,20656516000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2019,21539982000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2020,21354105000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2021,23681171000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2022,26006893000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2023,27720709000000.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,2024,
